x,y,task,episode,index,timestamp,has_sensor
-100.71613,165.57156,Green_point,data_collection_20251108_054442,309,0.0,True
-151.04817,225.52266,Green_point,data_collection_20251108_054442,313,0.0,True
-85.59631,245.49823,Green_point,data_collection_20251108_054442,317,0.0,True
-65.06948,340.24408,Green_point,data_collection_20251108_054442,320,0.0,True
-12.666791,371.82486,Green_point,data_collection_20251108_054442,324,0.0,True
-45.33925,433.51535,Green_point,data_collection_20251108_054442,327,0.0,True
456.10767,-360.09464,Green_point,data_collection_20251108_054442,331,0.0,True
263.42944,-480.43768,Green_point,data_collection_20251108_054442,334,0.0,True
237.7964,460.89056,Green_point,data_collection_20251108_054442,338,0.0,True
204.85292,429.41553,Green_point,data_collection_20251108_054442,342,0.0,True
209.15569,-469.1661,Green_point,data_collection_20251108_054442,345,0.0,True
159.44518,-458.36212,Green_point,data_collection_20251108_054442,349,0.0,True
473.8336,240.2303,Green_point,data_collection_20251108_054442,352,0.0,True
95.226326,-58.612255,Green_point,data_collection_20251108_054442,356,0.0,True
402.94507,-208.31747,Green_point,data_collection_20251108_054442,359,0.0,True
341.69818,241.68301,Green_point,data_collection_20251108_054442,363,0.0,True
336.273,-276.03354,Green_point,data_collection_20251108_054442,366,0.0,True
341.69818,241.68301,Green_point,data_collection_20251108_054442,370,0.0,True
341.69818,241.68301,Green_point,data_collection_20251108_054442,374,0.0,True
341.69818,241.68301,Green_point,data_collection_20251108_054442,377,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,381,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,384,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,388,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,391,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,395,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,399,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,402,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,406,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,409,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,413,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,416,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,420,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,423,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,427,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,431,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,434,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,438,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,441,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,445,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,448,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,452,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,456,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,459,0.0,True
