x,y,task,episode,index,timestamp,has_sensor
-0.8923961,8.511884,Green_point,data_collection_20251108_054442,0,0.0,True
-0.9330711,8.468716,Green_point,data_collection_20251108_054442,3,0.0,True
-1.2280635,8.5189905,Green_point,data_collection_20251108_054442,7,0.0,True
-1.1520572,8.518835,Green_point,data_collection_20251108_054442,10,0.0,True
-1.2576522,8.931852,Green_point,data_collection_20251108_054442,14,0.0,True
-1.2141598,8.965426,Green_point,data_collection_20251108_054442,17,0.0,True
-1.0618577,9.122165,Green_point,data_collection_20251108_054442,21,0.0,True
-1.0218356,8.770356,Green_point,data_collection_20251108_054442,24,0.0,True
-1.3457543,8.920649,Green_point,data_collection_20251108_054442,28,0.0,True
-0.8940863,9.173719,Green_point,data_collection_20251108_054442,32,0.0,True
-0.93280405,9.017512,Green_point,data_collection_20251108_054442,35,0.0,True
-1.1903241,8.556229,Green_point,data_collection_20251108_054442,39,0.0,True
-1.3827115,8.574856,Green_point,data_collection_20251108_054442,42,0.0,True
-1.4219894,8.780969,Green_point,data_collection_20251108_054442,46,0.0,True
-0.81844985,8.311752,Green_point,data_collection_20251108_054442,49,0.0,True
-0.47894105,8.2293215,Green_point,data_collection_20251108_054442,53,0.0,True
-0.57845527,8.376607,Green_point,data_collection_20251108_054442,57,0.0,True
-0.55775726,8.322346,Green_point,data_collection_20251108_054442,60,0.0,True
-0.41204068,8.267075,Green_point,data_collection_20251108_054442,64,0.0,True
1.2096647,7.916602,Green_point,data_collection_20251108_054442,67,0.0,True
1.2715315,8.945127,Green_point,data_collection_20251108_054442,71,0.0,True
1.4059104,8.820122,Green_point,data_collection_20251108_054442,74,0.0,True
1.3513489,9.012105,Green_point,data_collection_20251108_054442,78,0.0,True
0.20079288,9.428957,Green_point,data_collection_20251108_054442,81,0.0,True
0.023380566,9.069416,Green_point,data_collection_20251108_054442,85,0.0,True
0.24550529,9.31277,Green_point,data_collection_20251108_054442,89,0.0,True
0.9006859,9.273296,Green_point,data_collection_20251108_054442,92,0.0,True
1.4614968,8.874673,Green_point,data_collection_20251108_054442,96,0.0,True
1.500032,8.7333975,Green_point,data_collection_20251108_054442,99,0.0,True
1.7947423,8.033788,Green_point,data_collection_20251108_054442,103,0.0,True
1.7346811,7.7729554,Green_point,data_collection_20251108_054442,106,0.0,True
0.48356354,8.559148,Green_point,data_collection_20251108_054442,110,0.0,True
1.0788254,9.124823,Green_point,data_collection_20251108_054442,114,0.0,True
